senioridade,idade,horas_trabalho,pct_reunioes,interacoes_noturnas,periodo_sem_ferias,score_satisfacao,burnout_label
Pleno,35,48,0.52,9,17,5,1
Pleno,35,38,0.6,1,29,3,0
Pleno,27,41,0.19,2,13,5,0
Junior,31,41,0.4,4,0,3,0
Junior,34,49,0.54,6,6,2,1
Junior,28,46,0.21,5,4,5,0
Pleno,25,42,0.2,3,15,1,0
Pleno,37,45,0.11,5,2,3,0
Pleno,35,44,0.49,7,10,2,1
Senior,27,58,0.59,7,8,4,1
Junior,26,45,0.37,3,2,1,0
Junior,28,47,0.18,8,24,2,1
Junior,33,45,0.6,4,11,5,0
Pleno,23,41,0.29,7,4,1,1
Junior,39,49,0.47,6,16,1,1
Junior,23,46,0.34,3,12,1,0
Junior,25,38,0.2,5,18,3,0
Junior,33,44,0.4,6,6,5,0
Pleno,30,40,0.3,4,0,3,0
Junior,27,44,0.37,2,9,4,0
Junior,30,41,0.27,5,10,5,0
Senior,29,47,0.14,9,18,2,1
Pleno,30,55,0.29,4,1,2,0
Junior,29,41,0.45,3,2,4,0
Junior,27,40,0.25,8,2,5,0
Pleno,26,42,0.39,4,0,2,0
Pleno,26,50,0.53,6,11,2,1
Junior,28,47,0.23,3,22,1,0
Pleno,30,45,0.15,5,9,1,0
Senior,26,39,0.26,7,0,5,0
Senior,26,39,0.31,2,2,5,0
Pleno,25,52,0.44,5,2,4,0
Pleno,20,50,0.23,6,8,1,1
Pleno,29,43,0.1,3,3,3,0
Pleno,39,48,0.28,6,0,5,0
Junior,40,51,0.44,6,9,2,1
Senior,30,50,0.53,0,7,4,0
Pleno,20,47,0.47,7,11,3,1
Junior,33,41,0.36,6,34,1,1
Pleno,27,47,0.55,6,12,5,0
Pleno,32,44,0.49,4,1,3,0
Junior,31,40,0.37,4,19,4,0
Senior,34,41,0.48,6,10,1,1
Pleno,27,50,0.54,5,20,1,1
Pleno,23,36,0.21,2,9,5,0
Pleno,20,40,0.29,6,15,1,1
Junior,27,42,0.27,6,3,1,1
Pleno,35,46,0.31,9,8,3,1
Senior,39,52,0.48,3,13,1,1
Pleno,41,41,0.14,4,8,4,0
Pleno,35,40,0.18,3,6,5,0
Pleno,33,45,0.22,6,16,2,0
Pleno,36,42,0.41,4,0,5,0
Pleno,33,39,0.54,5,8,3,0
Junior,31,43,0.12,5,28,5,0
Junior,28,45,0.15,11,21,4,1
Junior,31,40,0.19,2,4,4,0
Senior,24,59,0.49,4,4,2,1
Junior,28,47,0.41,6,16,5,0
Pleno,36,45,0.48,8,13,1,1
Junior,26,48,0.27,1,11,5,0
Senior,25,46,0.2,6,6,4,0
Junior,38,43,0.2,5,16,3,0
Senior,23,55,0.27,8,9,2,1
Junior,29,41,0.34,3,6,3,0
Junior,27,44,0.31,4,16,2,0
Pleno,34,40,0.2,4,1,1,0
Pleno,33,47,0.12,10,29,3,1
Junior,24,43,0.15,5,4,4,0
Junior,42,51,0.32,5,36,1,1
Pleno,28,53,0.23,6,3,5,0
Senior,33,50,0.38,6,4,4,0
Pleno,27,41,0.44,0,1,5,0
Pleno,36,46,0.57,5,9,1,1
Junior,31,50,0.53,9,14,1,1
Senior,39,53,0.37,5,9,1,1
Senior,31,43,0.38,7,6,5,0
Junior,27,46,0.41,3,36,1,1
Pleno,32,44,0.14,3,4,3,0
Senior,24,50,0.33,1,19,5,0
Junior,31,48,0.37,8,13,3,1
Junior,26,41,0.22,6,7,4,0
Pleno,37,44,0.38,4,18,3,0
Pleno,31,51,0.54,2,10,1,1
Pleno,32,44,0.2,3,5,1,0
Junior,30,50,0.16,4,5,2,0
Pleno,23,40,0.56,4,0,5,0
Pleno,24,39,0.39,2,15,4,0
Senior,27,43,0.37,4,23,5,0
Pleno,26,45,0.11,7,11,5,0
Junior,27,43,0.38,5,1,2,0
Pleno,23,46,0.16,1,0,2,0
Pleno,39,43,0.14,8,12,3,0
Junior,32,44,0.59,4,2,4,0
Junior,30,50,0.54,3,4,1,1
Junior,25,41,0.37,8,15,3,1
Pleno,30,40,0.2,5,5,4,0
Junior,25,41,0.44,6,5,5,0
Junior,40,48,0.28,2,7,4,0
Senior,21,55,0.57,5,36,4,1
Junior,22,40,0.15,3,5,4,0
Junior,29,39,0.13,4,2,3,0
Senior,33,48,0.34,4,9,4,0
Pleno,26,39,0.19,4,10,1,0
Pleno,31,48,0.52,5,10,2,1
Junior,28,46,0.44,4,0,5,0
Junior,38,45,0.22,4,0,3,0
Senior,34,51,0.13,6,24,3,0
Senior,39,44,0.24,4,26,2,0
Junior,36,49,0.1,7,16,4,0
Pleno,31,48,0.19,3,21,3,0
Junior,22,39,0.59,2,3,3,0
Junior,27,42,0.47,4,29,3,0
Senior,33,52,0.41,4,3,5,0
Senior,20,52,0.47,4,10,3,0
Pleno,34,53,0.13,5,6,5,0
Junior,29,46,0.18,6,0,3,0
Junior,31,41,0.24,5,0,2,0
Pleno,24,41,0.34,6,36,4,0
Pleno,32,40,0.23,6,11,2,0
Pleno,34,43,0.22,7,1,2,0
Senior,32,43,0.2,4,6,5,0
Senior,36,48,0.45,4,24,1,1
Pleno,37,50,0.15,9,15,2,1
Senior,24,42,0.1,4,10,1,0
Pleno,31,51,0.23,6,0,3,0
Senior,23,50,0.6,1,1,4,0
Junior,30,44,0.48,2,5,1,0
Pleno,30,41,0.52,8,4,5,0
Pleno,22,44,0.24,7,16,2,1
Pleno,21,50,0.57,5,11,5,0
Pleno,27,48,0.6,3,0,2,0
Junior,28,38,0.45,5,1,3,0
Junior,25,42,0.36,8,20,1,1
Junior,34,37,0.41,5,3,2,0
Senior,35,54,0.44,7,7,5,0
Pleno,26,38,0.15,10,2,4,0
Pleno,25,58,0.33,4,5,2,1
Senior,27,57,0.18,8,3,1,1
Pleno,26,48,0.16,11,6,3,1
Junior,32,47,0.59,7,5,4,1
Pleno,25,47,0.48,5,10,4,0
Junior,28,42,0.29,11,14,3,1
Pleno,27,44,0.41,5,5,2,0
Junior,25,38,0.41,5,4,4,0
Junior,21,42,0.3,4,1,1,0
Pleno,28,57,0.28,6,13,2,1
Senior,35,37,0.26,8,14,2,1
Junior,27,42,0.28,4,1,4,0
Senior,25,46,0.38,1,14,2,0
Senior,29,51,0.14,4,19,3,0
Junior,29,39,0.36,3,0,1,0
Pleno,31,48,0.25,3,9,3,0
Junior,29,44,0.27,6,24,4,0
Pleno,40,44,0.14,8,27,1,1
Junior,26,37,0.25,4,3,4,0
Junior,26,45,0.3,3,2,3,0
Pleno,37,43,0.22,2,13,4,0
Junior,34,43,0.36,5,2,5,0
Senior,23,46,0.38,2,11,5,0
Senior,30,45,0.13,6,17,3,0
Junior,26,37,0.41,2,0,4,0
Pleno,27,49,0.21,4,2,1,0
Pleno,23,44,0.24,5,3,1,0
Pleno,33,44,0.57,3,15,4,0
Senior,33,42,0.2,3,14,1,0
Pleno,25,42,0.53,4,3,4,0
Pleno,35,42,0.34,3,2,3,0
Senior,22,41,0.11,1,5,3,0
Junior,30,46,0.31,6,21,2,1
Pleno,29,39,0.11,6,3,2,0
Senior,24,35,0.25,3,8,3,0
Senior,22,49,0.35,7,7,1,1
Pleno,30,53,0.37,4,36,5,0
Junior,35,41,0.35,4,5,2,0
Junior,26,42,0.25,2,8,2,0
Pleno,38,49,0.16,8,18,5,0
Junior,27,49,0.27,5,7,1,1
Pleno,28,45,0.12,3,12,5,0
Pleno,31,39,0.11,6,0,2,0
Junior,36,44,0.3,4,15,2,0
Junior,33,41,0.51,4,14,2,0
Senior,32,52,0.5,10,32,4,1
Pleno,25,52,0.36,4,9,1,1
Senior,20,41,0.2,4,11,2,0
Senior,47,46,0.41,7,1,4,0
Junior,30,38,0.28,2,8,1,0
Junior,35,41,0.3,3,7,2,0
Pleno,34,52,0.35,4,5,5,0
Pleno,40,51,0.41,9,15,1,1
Pleno,20,48,0.54,1,9,1,0
Pleno,40,48,0.57,8,16,1,1
Senior,30,62,0.14,6,10,3,1
Pleno,27,52,0.31,8,23,2,1
Pleno,34,47,0.6,7,23,4,1
Senior,29,47,0.6,3,10,1,1
Pleno,29,35,0.31,1,5,1,0
Junior,33,45,0.52,1,8,5,0
Junior,21,48,0.22,4,0,3,0
Junior,32,48,0.51,4,16,1,1
Junior,28,37,0.6,6,0,5,0
Junior,20,45,0.24,7,0,3,0
Junior,34,41,0.14,6,1,5,0
Senior,27,48,0.48,4,12,4,0
Junior,30,42,0.41,9,10,3,1
Junior,38,47,0.35,7,19,2,1
Pleno,25,45,0.37,3,2,4,0
Junior,28,41,0.16,6,4,3,0
Senior,24,50,0.22,7,5,2,1
Junior,43,42,0.34,7,9,4,0
Senior,34,50,0.19,5,20,4,0
Pleno,38,39,0.3,5,1,3,0
Pleno,30,49,0.32,5,22,1,1
Senior,29,43,0.22,3,19,4,0
Junior,27,43,0.46,4,17,5,0
Senior,28,47,0.15,2,11,5,0
Pleno,22,44,0.5,3,11,1,0
Pleno,31,47,0.35,4,4,4,0
Senior,30,46,0.16,5,8,2,0
Pleno,36,55,0.42,10,17,4,1
Junior,30,42,0.18,9,17,3,1
Junior,38,45,0.46,9,5,4,1
Pleno,20,42,0.55,4,12,1,1
Senior,25,45,0.42,6,3,1,1
Junior,38,42,0.26,6,2,5,0
Senior,29,44,0.21,2,8,4,0
Pleno,32,48,0.55,6,2,4,0
Junior,33,37,0.34,2,19,5,0
Junior,27,48,0.25,7,2,5,0
Pleno,33,44,0.4,8,31,3,1
Senior,34,44,0.56,1,3,4,0
Pleno,32,46,0.47,5,7,1,1
Pleno,29,38,0.59,3,24,4,0
Pleno,20,43,0.23,4,13,3,0
Pleno,28,44,0.11,5,3,5,0
Pleno,28,46,0.12,1,1,3,0
Pleno,42,45,0.4,3,8,1,0
Junior,21,49,0.46,11,10,1,1
Pleno,31,42,0.32,4,7,5,0
Pleno,29,45,0.57,5,23,1,1
Pleno,40,45,0.36,5,25,1,1
Pleno,37,38,0.25,5,0,5,0
Pleno,32,49,0.37,3,13,1,1
Pleno,33,45,0.34,5,2,4,0
Pleno,32,49,0.54,5,9,4,0
Junior,34,37,0.47,3,11,5,0
Pleno,25,49,0.36,4,11,5,0
Senior,33,46,0.57,7,16,1,1
Pleno,23,53,0.53,8,9,5,1
Junior,42,38,0.16,6,36,5,0
Senior,35,56,0.3,9,16,4,1
Pleno,28,49,0.49,8,10,2,1
Senior,36,56,0.21,2,9,2,0
Junior,31,38,0.46,3,33,3,0
Pleno,26,47,0.57,5,20,2,1
Pleno,36,52,0.44,8,16,1,1
Junior,36,43,0.42,8,35,2,1
Pleno,30,52,0.27,5,36,4,0
Junior,22,52,0.5,5,3,5,0
Junior,30,39,0.54,3,8,5,0
Junior,32,47,0.31,9,21,4,1
Pleno,34,44,0.28,4,3,3,0
Junior,24,42,0.45,6,5,1,1
Senior,40,45,0.43,5,36,4,0
Pleno,33,42,0.13,8,18,5,0
Pleno,28,48,0.43,7,7,3,1
Pleno,25,52,0.44,6,36,1,1
Junior,28,36,0.28,11,21,2,1
Senior,32,48,0.46,6,9,3,1
Senior,29,55,0.58,4,3,5,0
Pleno,29,47,0.28,2,2,3,0
Junior,28,39,0.31,2,12,1,0
Junior,20,43,0.59,5,11,3,0
Junior,47,39,0.28,5,3,2,0
Senior,37,53,0.34,8,8,4,1
Pleno,21,40,0.29,4,28,4,0
Junior,28,53,0.42,5,14,2,1
Pleno,31,55,0.45,8,15,4,1
Senior,34,56,0.21,5,14,2,1
Junior,29,40,0.42,4,2,2,0
Junior,22,40,0.22,4,1,1,0
Pleno,30,37,0.18,5,5,2,0
Junior,26,47,0.5,3,10,3,0
Pleno,31,48,0.14,2,10,3,0
Pleno,36,45,0.21,4,3,1,0
Junior,26,42,0.51,5,30,4,0
Junior,27,42,0.43,3,13,4,0
Pleno,33,51,0.59,2,1,5,0
Pleno,24,39,0.29,6,23,5,0
Senior,29,41,0.16,4,3,1,0
Junior,20,45,0.39,10,22,4,1
Junior,36,39,0.45,3,10,2,0
Junior,31,38,0.33,5,0,4,0
Junior,30,48,0.16,9,15,2,1
Pleno,30,54,0.5,8,14,5,1
Junior,27,51,0.58,13,7,5,1
Pleno,27,54,0.23,11,13,4,1
Pleno,26,43,0.55,5,12,1,1
Junior,22,46,0.57,5,36,1,1
Pleno,29,44,0.26,6,5,2,0
Senior,21,48,0.51,5,20,1,1
Senior,33,51,0.47,3,3,3,0
Senior,26,46,0.37,6,0,5,0
Junior,28,45,0.41,2,14,1,0
Junior,37,39,0.15,5,9,4,0
Junior,22,40,0.32,3,28,3,0
Pleno,31,46,0.41,2,3,5,0
Senior,25,38,0.53,2,6,3,0
Junior,22,44,0.58,4,5,3,0
Junior,38,42,0.22,6,15,2,0
Junior,27,42,0.58,8,36,2,1
Pleno,28,45,0.29,5,15,1,1
Pleno,37,45,0.32,7,6,2,1
Senior,32,47,0.48,10,19,5,1
Pleno,32,41,0.46,8,8,4,0
Senior,32,50,0.41,2,19,5,0
Pleno,24,48,0.3,4,3,3,0
Senior,32,47,0.55,5,5,5,0
Pleno,23,50,0.56,8,18,5,1
Pleno,26,43,0.27,7,20,2,1
Senior,26,43,0.29,7,0,3,0
Senior,34,48,0.55,8,8,3,1
Junior,26,44,0.22,5,5,2,0
Pleno,28,46,0.43,9,6,4,1
Junior,40,42,0.5,5,5,2,0
Pleno,34,48,0.41,4,22,3,0
Junior,35,42,0.12,2,3,3,0
Senior,25,47,0.46,2,1,2,0
Pleno,28,45,0.43,9,9,2,1
Junior,30,43,0.53,5,6,1,1
Pleno,29,39,0.59,9,7,1,1
Pleno,28,39,0.48,5,0,5,0
Pleno,25,48,0.33,5,5,1,1
Pleno,33,47,0.25,8,18,1,1
Junior,31,51,0.37,6,22,5,0
Junior,38,46,0.36,5,30,1,1
Junior,38,43,0.49,5,0,5,0
Senior,32,56,0.51,5,27,4,1
Pleno,38,43,0.52,4,18,1,1
Junior,26,44,0.48,4,4,4,0
Senior,28,47,0.54,6,21,5,0
Senior,27,44,0.5,3,4,2,0
Pleno,34,50,0.19,5,0,3,0
Junior,26,40,0.39,5,5,3,0
Junior,27,40,0.53,4,4,5,0
Junior,30,47,0.45,5,7,1,1
Junior,33,40,0.44,7,6,3,0
Junior,32,47,0.18,4,8,1,0
Senior,34,51,0.29,6,22,2,1
Junior,36,41,0.48,5,16,5,0
Pleno,31,42,0.34,3,5,3,0
Pleno,24,37,0.47,8,2,4,0
Junior,32,41,0.13,4,7,4,0
Junior,34,52,0.56,6,13,3,1
Pleno,21,48,0.12,4,9,3,0
Junior,26,49,0.31,9,15,2,1
Junior,28,36,0.59,6,0,3,0
Junior,30,40,0.33,3,6,4,0
Junior,32,35,0.56,6,17,4,0
Junior,34,42,0.46,10,26,5,1
Junior,27,41,0.19,6,0,2,0
Pleno,35,45,0.49,1,4,3,0
Junior,40,41,0.52,4,3,4,0
Junior,20,41,0.56,3,14,2,0
Senior,34,54,0.38,2,10,5,0
Senior,29,44,0.49,3,3,1,0
Junior,39,43,0.19,4,4,1,0
Pleno,20,50,0.46,9,15,3,1
Junior,25,42,0.34,2,8,2,0
Junior,26,40,0.41,7,14,4,0
Pleno,34,49,0.4,4,5,4,0
Senior,26,53,0.29,4,14,3,0
Pleno,40,44,0.52,7,13,3,1
Pleno,39,51,0.54,5,17,1,1
Senior,35,52,0.55,3,10,1,1
Senior,20,39,0.17,6,19,3,0
Junior,24,44,0.41,4,3,2,0
Pleno,40,38,0.28,3,8,1,0
Senior,28,47,0.24,4,11,5,0
Junior,30,44,0.28,2,1,4,0
Junior,20,41,0.46,3,1,1,0
Pleno,24,48,0.5,6,14,2,1
Junior,24,36,0.2,9,12,1,1
Junior,27,44,0.43,3,4,5,0
Pleno,27,41,0.25,3,7,4,0
Senior,36,52,0.44,8,7,4,1
Junior,20,41,0.42,3,26,5,0
Junior,32,45,0.35,3,6,4,0
Pleno,25,44,0.35,8,12,2,1
Pleno,34,47,0.4,3,3,2,0
Junior,35,44,0.53,4,11,1,1
Pleno,30,55,0.4,4,6,3,0
Pleno,32,44,0.29,3,17,3,0
Junior,40,46,0.31,2,4,4,0
Pleno,28,54,0.58,7,18,3,1
Senior,31,52,0.16,6,25,4,0
Junior,30,42,0.35,6,11,4,0
Pleno,41,40,0.3,5,12,2,0
Junior,34,41,0.1,5,4,2,0
Junior,22,44,0.47,3,9,3,0
Senior,22,40,0.55,4,7,5,0
Pleno,27,40,0.35,3,5,1,0
Junior,29,42,0.24,3,9,3,0
Pleno,36,48,0.34,0,0,1,0
Junior,33,45,0.23,3,1,1,0
Junior,35,45,0.3,7,6,1,1
Pleno,28,39,0.42,7,11,5,0
Pleno,29,50,0.45,9,14,5,1
Senior,33,53,0.51,4,7,2,1
Junior,36,40,0.23,5,3,5,0
Junior,39,51,0.48,7,6,2,1
Pleno,27,49,0.5,8,23,1,1
Junior,24,39,0.16,7,17,4,0
Pleno,20,50,0.19,8,6,5,0
Senior,42,55,0.54,3,18,1,1
Junior,34,39,0.26,7,0,4,0
Pleno,34,39,0.31,5,2,2,0
Senior,38,48,0.15,7,18,2,1
Pleno,20,40,0.35,3,23,1,0
Pleno,20,45,0.23,2,5,2,0
Senior,23,48,0.19,4,7,3,0
Pleno,21,48,0.45,8,6,4,1
Junior,36,41,0.25,11,2,5,0
Pleno,29,41,0.31,6,0,4,0
Pleno,30,48,0.12,3,2,1,0
Senior,29,55,0.41,6,16,2,1
Senior,29,45,0.12,2,2,5,0
Senior,29,58,0.6,8,36,3,1
Pleno,33,50,0.29,14,6,3,1
Pleno,26,48,0.54,7,36,4,1
Junior,37,43,0.23,3,2,2,0
Pleno,34,41,0.49,2,13,3,0
Pleno,36,46,0.45,6,3,5,0
Pleno,30,38,0.23,3,4,1,0
Pleno,33,46,0.18,4,8,2,0
Pleno,34,47,0.24,5,8,5,0
Pleno,20,48,0.35,4,1,3,0
Junior,23,52,0.58,5,12,2,1
Pleno,31,42,0.32,5,17,4,0
Senior,36,46,0.19,4,5,2,0
Pleno,26,43,0.15,5,3,2,0
Pleno,22,45,0.43,3,0,3,0
Pleno,36,46,0.28,8,3,4,0
Pleno,28,51,0.11,3,12,5,0
Pleno,28,49,0.57,4,7,1,1
Pleno,34,43,0.6,2,1,4,0
Pleno,38,50,0.35,5,20,2,1
Senior,38,55,0.12,4,5,4,0
Junior,24,38,0.46,4,3,3,0
Junior,42,38,0.33,6,2,5,0
Pleno,35,49,0.51,6,20,3,1
Pleno,30,58,0.15,8,9,1,1
Junior,34,54,0.57,10,15,5,1
Junior,20,42,0.58,7,6,2,1
Junior,30,47,0.4,7,36,2,1
Junior,26,46,0.28,7,1,5,0
Junior,42,40,0.15,8,1,2,0
Senior,26,54,0.52,7,7,1,1
Senior,31,54,0.2,10,14,2,1
Pleno,29,41,0.24,7,0,2,0
Junior,24,41,0.55,3,5,1,0
Pleno,30,43,0.45,6,19,2,1
Junior,38,42,0.42,4,13,2,0
Senior,33,48,0.56,5,29,4,0
Pleno,21,46,0.3,4,12,5,0
Pleno,29,52,0.14,6,8,5,0
Junior,22,42,0.2,3,5,4,0
Pleno,25,42,0.36,4,4,5,0
Pleno,30,39,0.12,5,4,2,0
Pleno,31,52,0.54,5,9,3,1
Pleno,37,47,0.52,2,3,3,0
Senior,28,53,0.58,9,8,4,1
Senior,44,52,0.51,3,28,3,0
Pleno,32,47,0.27,7,13,4,0
Junior,35,40,0.35,3,1,5,0
Junior,29,42,0.55,4,29,1,1
Pleno,28,47,0.22,7,5,1,1
Senior,33,45,0.51,8,10,3,1
Pleno,34,40,0.11,3,29,3,0
Pleno,31,52,0.43,3,11,2,0
Junior,28,45,0.38,3,6,4,0
Junior,24,43,0.5,7,7,2,1
Junior,20,44,0.48,6,22,1,1
Senior,20,54,0.55,6,33,4,1
Junior,20,46,0.34,2,1,5,0
Pleno,27,41,0.42,5,36,5,0
Senior,33,46,0.24,3,5,4,0
Pleno,33,49,0.21,3,0,1,0
Junior,28,42,0.41,5,12,1,1
Pleno,45,49,0.51,7,10,1,1
Pleno,28,50,0.51,7,7,2,1
Pleno,29,48,0.36,4,13,4,0
Junior,23,43,0.22,4,6,5,0
Pleno,35,46,0.45,9,6,5,0
Senior,34,46,0.37,5,6,5,0
Pleno,21,45,0.16,6,14,1,1
Senior,38,45,0.59,7,21,1,1
Junior,25,51,0.29,2,35,5,0
Pleno,20,50,0.32,7,9,2,1
Junior,27,37,0.13,2,9,5,0
Junior,25,44,0.32,7,31,2,1
Pleno,31,47,0.32,6,3,5,0
Junior,28,37,0.26,10,11,3,1
Pleno,37,49,0.5,4,12,3,0
Junior,30,41,0.49,4,8,5,0
Pleno,29,41,0.49,2,5,5,0
Junior,37,47,0.31,1,6,2,0
Senior,37,48,0.13,5,36,5,0
Pleno,29,52,0.18,6,10,1,1
Junior,32,41,0.2,5,6,2,0
Pleno,22,48,0.26,5,15,1,1
Senior,32,46,0.26,3,0,5,0
Pleno,28,50,0.54,5,8,1,1
Pleno,26,46,0.33,4,2,3,0
Senior,29,44,0.3,5,19,4,0
Senior,25,50,0.51,11,8,4,1
Pleno,36,37,0.5,3,19,4,0
Junior,35,43,0.45,8,9,3,1
Senior,22,58,0.47,4,17,2,1
Pleno,28,40,0.48,2,18,3,0
Senior,37,45,0.34,6,2,3,0
Junior,31,39,0.29,8,31,4,0
Junior,31,46,0.12,1,2,3,0
Junior,26,37,0.57,9,4,2,1
Senior,32,42,0.28,5,0,4,0
Junior,32,40,0.45,2,18,4,0
Senior,30,54,0.35,5,19,2,1
Junior,25,49,0.59,9,14,1,1
Pleno,24,44,0.44,2,36,1,0
Junior,29,41,0.11,5,1,1,0
Junior,30,41,0.13,3,3,5,0
Pleno,20,48,0.14,4,7,3,0
Senior,40,54,0.14,5,1,5,0
Pleno,30,41,0.17,8,10,3,0
Pleno,23,50,0.23,4,13,1,1
Junior,36,43,0.31,7,14,5,0
Junior,33,38,0.19,10,10,1,1
Junior,33,45,0.19,6,2,2,0
Junior,37,39,0.35,6,11,2,0
Senior,34,50,0.53,6,6,3,1
Senior,29,46,0.48,8,10,2,1
Junior,30,41,0.35,7,3,5,0
Senior,20,41,0.56,6,12,1,1
Pleno,39,56,0.59,5,16,3,1
Pleno,27,40,0.53,8,9,1,1
Junior,37,47,0.43,3,1,5,0
Pleno,36,56,0.26,5,14,1,1
Junior,26,42,0.19,6,10,5,0
Junior,31,49,0.33,2,4,1,0
Junior,20,44,0.21,5,4,1,0
Senior,31,45,0.51,5,5,4,0
Junior,27,47,0.43,3,2,3,0
Junior,28,43,0.51,6,5,3,0
Pleno,24,47,0.44,0,8,5,0
Pleno,32,51,0.14,10,6,2,1
Pleno,29,45,0.59,0,16,2,0
Pleno,30,46,0.6,6,15,3,1
Senior,30,47,0.25,4,14,5,0
Senior,22,46,0.37,9,4,5,0
Pleno,29,48,0.35,4,6,4,0
Junior,20,43,0.49,7,16,1,1
Senior,36,39,0.29,1,33,1,0
Junior,22,43,0.36,6,3,5,0
Junior,27,45,0.41,5,14,4,0
Senior,30,41,0.56,7,18,4,0
Pleno,36,47,0.45,5,15,2,1
Pleno,24,47,0.54,4,13,1,1
Junior,28,39,0.55,4,10,1,0
Senior,37,47,0.33,3,2,2,0
Junior,23,39,0.53,2,35,5,0
Senior,26,55,0.14,3,2,5,0
Pleno,33,47,0.46,7,22,3,1
Pleno,32,51,0.24,9,8,3,1
Junior,30,40,0.15,5,18,2,0
Junior,33,38,0.39,3,11,3,0
Senior,31,58,0.58,7,9,3,1
Junior,39,39,0.21,7,13,3,0
Pleno,29,48,0.51,4,10,1,1
Junior,31,46,0.33,4,10,4,0
Junior,34,44,0.18,4,18,1,0
Pleno,27,45,0.54,4,16,1,1
Pleno,31,50,0.56,2,9,4,0
Pleno,28,44,0.25,5,0,3,0
Junior,26,40,0.27,4,1,2,0
Junior,35,40,0.59,4,24,5,0
Senior,22,48,0.19,8,8,4,0
Junior,20,38,0.56,4,10,2,0
Junior,30,44,0.13,3,1,2,0
Pleno,29,45,0.38,2,3,4,0
Junior,23,46,0.15,9,10,5,0
Junior,26,47,0.21,9,15,3,1
Pleno,34,40,0.33,5,0,1,0
Pleno,31,51,0.38,8,16,3,1
Pleno,27,40,0.33,4,0,4,0
Pleno,35,40,0.12,7,1,3,0
Pleno,35,43,0.1,4,1,3,0
Senior,31,50,0.3,6,2,4,0
Pleno,28,45,0.39,5,26,1,1
Junior,29,47,0.42,4,18,4,0
Senior,43,55,0.41,4,5,4,0
Pleno,30,47,0.52,7,16,1,1
Pleno,24,43,0.28,3,36,5,0
Senior,24,45,0.58,6,17,3,1
Pleno,27,42,0.45,3,8,3,0
Pleno,30,44,0.54,2,5,5,0
Senior,26,38,0.21,4,14,4,0
Junior,36,50,0.17,4,2,1,0
Pleno,36,52,0.13,5,1,3,0
Senior,20,57,0.26,3,19,1,1
Pleno,31,47,0.55,4,5,1,1
Junior,29,44,0.24,2,6,3,0
Senior,37,61,0.53,6,6,4,1
Pleno,26,44,0.45,6,0,4,0
Pleno,29,53,0.37,5,11,1,1
Junior,24,38,0.23,2,11,2,0
Pleno,32,48,0.34,5,18,1,1
Senior,37,46,0.24,4,2,5,0
Junior,30,41,0.5,4,22,4,0
Pleno,32,51,0.31,4,1,4,0
Pleno,26,53,0.34,4,10,1,1
Senior,30,40,0.23,5,5,3,0
Pleno,25,51,0.45,5,11,4,0
Pleno,29,46,0.5,10,18,3,1
Pleno,24,44,0.3,5,35,5,0
Senior,26,48,0.17,6,10,3,0
Pleno,35,46,0.37,5,10,3,0
Pleno,27,55,0.23,3,12,3,0
Pleno,22,46,0.57,3,1,4,0
Pleno,36,52,0.16,8,1,4,0
Junior,25,44,0.54,9,8,2,1
Senior,31,50,0.11,5,3,3,0
Pleno,27,51,0.14,4,2,1,0
Junior,25,40,0.36,3,23,1,0
Pleno,41,49,0.49,6,4,4,0
Pleno,33,39,0.55,3,12,5,0
Junior,24,45,0.24,4,7,3,0
Pleno,25,43,0.17,4,1,5,0
Pleno,20,45,0.21,8,5,2,1
Senior,31,41,0.4,5,16,5,0
Senior,27,43,0.43,6,8,4,0
Senior,34,45,0.34,7,0,5,0
Junior,25,40,0.55,5,6,3,0
Senior,27,48,0.11,6,4,3,0
Junior,31,42,0.22,8,14,1,1
Junior,26,47,0.41,6,9,2,1
Pleno,37,42,0.17,7,22,3,0
Junior,32,40,0.47,4,8,3,0
Junior,36,43,0.47,2,6,2,0
Senior,30,55,0.53,6,11,1,1
Senior,31,49,0.49,4,2,3,0
Junior,37,44,0.27,4,6,2,0
Pleno,25,42,0.16,6,8,4,0
Junior,25,41,0.56,4,1,5,0
Pleno,37,48,0.14,3,5,1,0
Pleno,34,46,0.34,6,11,1,1
Junior,20,43,0.43,2,0,2,0
Senior,39,48,0.28,1,1,2,0
Pleno,24,42,0.31,5,16,1,1
Senior,20,44,0.4,4,30,3,0
Junior,34,41,0.31,4,6,4,0
Pleno,36,42,0.3,2,14,2,0
Pleno,24,51,0.58,5,5,5,0
Pleno,21,45,0.54,4,1,4,0
Junior,28,45,0.5,1,15,4,0
Junior,31,43,0.22,9,36,2,1
Junior,39,52,0.47,5,36,3,1
Pleno,36,41,0.19,7,10,5,0
Junior,25,40,0.11,6,2,5,0
Pleno,28,40,0.42,4,9,5,0
Senior,32,46,0.33,4,0,2,0
Junior,32,44,0.3,9,21,1,1
Junior,20,44,0.53,2,7,3,0
Junior,35,45,0.2,6,8,2,0
Junior,26,39,0.28,4,8,3,0
Pleno,32,48,0.48,4,10,1,1
Junior,29,46,0.24,4,7,2,0
Senior,29,54,0.25,9,9,2,1
Pleno,38,42,0.44,3,15,3,0
Senior,27,47,0.2,2,9,1,0
Senior,36,48,0.23,6,22,1,1
Pleno,27,49,0.27,2,0,2,0
Senior,31,59,0.59,6,8,3,1
